ID,質問,回答,カテゴリ
AI-1,ChatGPTとClaudeの違いは何ですか？,ChatGPTは情報検索や幅広い対応に強く、Claudeは長文の文章作成や分析に強いです。用途に応じて使い分けましょう。テキスト生成AI入門講座で詳しく学べます。,AI活用
AI-2,AIツールは有料版を使った方がいいですか？,無料版でも十分学習できますが、本格的に案件で使うなら有料版がおすすめです。まずは無料版で試し、必要に応じてアップグレードしてください。,AI活用
AI-4,AIで画像生成をしたいのですが、おすすめのツールはありますか？,GoogleのGeminiがおすすめです。他にもMidjourney、DALL-E、Stable Diffusionなどがあります。画像生成AI入門講座で学びましょう。,AI活用
AI-6,AIを使って副業を始めたいのですが、何から始めればいいですか？,地道に進めたい方はSEOなどをAIで行うのも良いですが、基本的にはAIエージェント構築代行の方がおすすめです。収益的にも良く、時間も少なくて済み、スキルも積み上がっていきます。,AI活用
AI-7,AIで作成したコンテンツをそのまま納品しても大丈夫ですか？,AIで作成しても大丈夫ですが、必ず確認・修正してから納品しましょう。AIの出力には不正確な部分が含まれることもあるので、最終チェックは忘れずに行ってくださいね。,AI活用
AI-8,AIツールが多すぎてどれを使えばいいかわかりません。,まずはChatGPTかClaudeから始めて、慣れてきたら用途に応じて他のツールも試してみましょう。Geminiも検索機能があっておすすめです。,AI活用
AI-21,AIで音声を文字起こしできますか？,はい、Whisperなどのツールで音声の文字起こしができます。CapCutの有料プランでも可能です。,AI活用
AI-24,AIコンサルとは何ですか？,企業にAI導入の提案やサポートを行うコンサルティングの仕事です。AIコンサルコースで提案方法から実践まで体系的に学べます。,AI活用
MP-001,アドネス哲学の核心は何ですか？,「価値提供を通じてWellbeing（ウェルビーイング）し、LTRを紡ぐ」というサイクルです。誰かを喜ばせることが自分の幸福につながり、その結果として長期的な信頼関係が生まれます。シンプルですが、これがすべての土台になる考え方です。,マインドセット
MP-002,Wellbeing（ウェルビーイング）を構成する5つの要素とは？,1.欲求の解消、2.意義性、3.成長実感、4.没頭、5.人間関係の5つです。「やりたいことをやる」だけでなく、この5つがバランスよく揃うことで、持続する本当の幸福が手に入ります。どれが足りていないか、定期的にチェックしてみてくださいね。,マインドセット
MP-003,LTR（ライフタイム・リレーションシップ）とは何ですか？,「生涯続く信頼関係」のことです。人間関係の価値は「どれだけ長く続いているか」で決まります。20年の付き合いは、お金では絶対に買えません。だからこそ、目の前の関係を大切に育てていきましょう。,マインドセット
MP-004,「give super hard forever（ギブスーパーハードフォーエバー）」の意味を教えてください,誰よりも圧倒的に（スーパーハード）、一生（フォーエバー）与え続けるという覚悟です。短期的には損に見えても、長期的にはギバー同士がつながり、最も豊かな人生を送れます。まずは小さなギブから始めてみてください。,マインドセット
MP-005,AI時代の「生存戦略」とはどのようなものですか？,平均的な回答を出すAIに対し、「たった一人にとっての世界一」になることです。ターゲットを絞り、その人の好みに深く向き合えば、AIには絶対に代替できない価値が生まれます。あなただけの強みを磨いていきましょう。,マインドセット
MP-006,「価値提供」と「自己犠牲」は何が違うのですか？,価値提供は「自己防衛」です。誰かの役に立っている状態は、周囲から守られる状態を作ります。自分が削られるだけの自己犠牲とは本質的に違います。あなた自身が幸せでいることが、最高の価値提供の源泉ですよ。,マインドセット
MP-007,「ブラックスワン」とは何を指しますか？,予測不能な大きな上振れ（幸運）のことです。人生を劇的に変えるチャンスは、計算の外からやってきます。だからこそ、リスクを限定しながら種を蒔き続けることが大切です。100回目の挑戦で奇跡が起きるかもしれません。,マインドセット
MP-008,「Play your Life」の真意は？,人生を「最高に面白いゲーム」として捉える生き方です。困難もレベル上げイベントとして楽しみ、自分の価値提供力というパラメータを上げていく。そう考えると、毎日がワクワクしてきませんか？,マインドセット
MP-009,「価値提供力」とは具体的にどのような能力ですか？,誰かを喜ばせ、課題を解決する力です。営業もマーケティングも、すべて「ギブを届けるための技術」。スキルを学ぶのは、より多くの人を幸せにするためです。一緒に価値提供力を高めていきましょう。,マインドセット
MP-010,「幸せ中毒」とはどのような状態を指しますか？,「やりたいことをやる」だけを幸福だと勘違いし、意義や没頭、成長を捨ててしまう状態です。その先には空虚な人生が待っています。Wellbeing（ウェルビーイング）の5つの要素をバランスよく満たすことを意識してみてください。,マインドセット
MP-011,迷った時、最後に立ち返るべき問いは何ですか？,「これは価値提供を通じてWellbeing（ウェルビーイング）し、LTRを紡げる選択か？」と自分に問いかけてください。すべてがイエスなら、その道を進むべきです。迷った時の羅針盤として使ってくださいね。,マインドセット
MP-012,短期的な利益と長期的な信頼、どちらを優先すべきですか？,迷わず「長期」を選んでください。短期的な得は一度きりですが、長期的な信頼は複利で積み上がります。3年後の自分が「あの時の選択は正しかった」と言えるかどうか、それを基準にしましょう。,マインドセット
MP-013,相手が「テイカー」だと感じた場合、どう接すればよいですか？,速やかに距離を置いてください。ギバーは誰にギブするかを選ぶ権利があります。テイカーにギブし続けることは自己犠牲になり、あなた自身が疲弊してしまいます。自分を守ることも大切ですよ。,マインドセット
MP-014,リスクを取るべきかどうか、判断基準を教えてください,「失敗した時の損害が限定的で、成功した時のリターンが無限大か」で判断します。自己投資やギブは、この「割の良い賭け」に該当します。スキルプラスでの学びも、まさにこの割の良い賭けです。,マインドセット
MP-015,自分のやりたいことと、相手の求めることが対立した時は？,まず「相手の視点」を取得してください。相手を喜ばせることが自分のWellbeing（ウェルビーイング）につながり、LTRを紡ぐWin-Winの形を設計するのが、アドネス流の解決策です。対立ではなく、共創を目指しましょう。,マインドセット
MP-016,努力しているのに結果が出ず、焦りを感じる時はどう考えればいいですか？,「99回は空振りでいい」と考えてください。100回目に訪れるブラックスワンのために、淡々と信頼とスキルを積み上げる期間が必要です。今の努力は、必ず未来の自分への投資になっています。,マインドセット
MP-017,「自分にスキルがないから何も提供できない」と感じる時は？,「スキルを磨くプロセスそのもの」をWellbeing（ウェルビーイング）の源泉にしてください。昨日の自分より成長している実感は、それだけで幸福の要素です。まずは小さな一歩から始めれば大丈夫ですよ。,マインドセット
MP-018,相手に対してイライラしてしまった時の判断基準は？,その怒りを「視点取得が必要なサイン」として受け止めてください。「なぜこの人はこう動くのか」と背景を探ることで、感情的な対立を回避し、最速で成長できます。イライラは成長のチャンスです。,マインドセット
MP-019,自己投資にお金を使うべきか迷っています,スキル習得は「失うのはお金と時間だけ、得られるのは一生の資産」という極めて割の良い賭けです。迷う必要はありません。今の投資が、未来のあなたを大きく変えてくれますよ。,マインドセット
MP-020,効率化を追求することは、アドネスの哲学に反しますか？,反しません。より効率的に価値提供できれば、より多くの人を喜ばせ、自分のWellbeing（ウェルビーイング）も最大化できます。ただし、LTRを壊すような効率化はNGです。バランスを意識してくださいね。,マインドセット
MP-021,心身が疲弊し、ギブできない状態になった時はどうすべきですか？,Wellbeing（ウェルビーイング）の5要素のうち、どれが欠けているか診断してください。特に「欲求の解消（休息や食事）」が不足しているなら、まず自分を整えることが先決です。休むことも立派な行動ですよ。,マインドセット
MP-022,誤って相手に損をさせてしまった時の対応は？,誠実に謝罪し、将来必ずその損を上回る価値を返すと誓ってください。信頼を裏切らない姿勢そのものが、LTRを繋ぎ止める最後の砦です。誠実さは必ず伝わります。,マインドセット
MP-023,仕事において「誰のために」を優先すべきですか？,まずは「目の前のたった一人」です。その人を熱狂的に満足させることが、結果として多くの人への貢献につながります。広く浅くではなく、深く狭くを意識してみてください。,マインドセット
MP-024,競合他社が安売りを始めた時、どう判断すべきですか？,価格競争ではなく「深さ」で勝負します。特定の顧客にとって「代わりが効かない存在」になるための価値提供力を磨くべきです。安売りに巻き込まれず、自分の強みを信じましょう。,マインドセット
MP-025,判断の「正解」が分からず、行動が止まってしまう時は？,正解はやってみないと分かりません。リスクを限定した上で「まず行動」し、その結果から学んでいくのが最速の攻略法です。完璧を待つより、まず一歩踏み出してみてください。,マインドセット
MP-026,営業で「相手のため」を思うとは具体的にどういう行動ですか？,商品を売ること自体を目的とせず、「この商品で相手の課題が解決し、人生が良くなるか」を真剣に考えることです。必要なければ売らない選択も「相手のため」に含まれます。,マインドセット
MP-027,「世界一の定義を書き換える」とはどういうことですか？,「世界一旨いカレー」は難しくても、「Aさんの好みに世界一合うカレー」は作れます。ターゲットを極限まで絞ることで、誰でも世界一になれるんです。あなたにも必ずできますよ。,マインドセット
MP-028,ギブ（価値提供）の具体例を教えてください,困っている人の荷物を持ってあげるような、小さな親切も立派なギブです。見返りを期待せず、その瞬間の労力を差し出すことが、回り回って大きな信頼につながります。まずは身近なギブから始めましょう。,マインドセット
MP-029,「視点取得」を資料作成に活かすには？,「この資料を見る人が何を不安に思っているか」「どの情報があれば意思決定しやすいか」を想像します。相手の脳内を整理する手助けをすることが、資料における価値提供です。,マインドセット
MP-030,クレームが来た時、視点取得をどう使いますか？,「理不尽な客だ」と攻撃するのではなく、「自分の説明の何が相手を不安にさせたのか」と考えます。背景を理解すれば、対立ではなく協力関係に戻せます。クレームはチャンスでもありますよ。,マインドセット
MP-031,チームメンバーが動いてくれない時、どう考えればいいですか？,「相手へのギブ（動くメリットや意義の提示）が足りないのではないか」と自問してください。相手の視点で見ると、動けない制約があるのかもしれません。責めるより理解を。,マインドセット
MP-032,成功者がよく言う「運が良かった」の正体は何ですか？,スキルを磨き、ギブを積み重ねて「ブラックスワンが降りてくる確率」を最大化していたということです。運は努力の積み重ねの先にあります。あなたも今、その種を蒔いている最中ですよ。,マインドセット
MP-033,LTRを守るために「目先の得を捨てる」具体例は？,契約上は自分が得をする場面でも、相手が損を感じているなら、あえて自ら利益を削って調整するような行動です。3年後に「正しかった」と言える選択を心がけましょう。,マインドセット
MP-034,「当事者領域」を絞る具体例を教えてください,「起業の相談に乗ります」ではなく、「Aさんの新商品が売れるまで、誰よりも深く伴走します」というレベルまで絞り込みます。広げるより深める方が、確実に結果が出ますよ。,マインドセット
MP-035,価値提供力が低い初心者が、最初に行うべきギブは何ですか？,「圧倒的な努力（スーパーハード）」を見せることです。頑張っている姿は、それだけで周囲を応援したい気持ちにさせます。スキルがなくても、熱量は今すぐ出せますよね。,マインドセット
MP-036,なぜ人間関係において「長さ」が最も重要なのですか？,時間は唯一、お金で買えない「不可逆な資産」だからです。20年続いた関係を新しく作るには、また20年かかります。その希少性が価値を生みます。今ある関係を大切にしてください。,マインドセット
MP-037,アドネスが「教育」という事業領域を選んでいる理由は？,「価値提供力（スキル）」を身につけることが、Wellbeing（ウェルビーイング）とLTRを実現するための最も確実な手段だからです。スキルプラスで学ぶあなたは、まさにその道を歩んでいます。,マインドセット
MP-038,「善と悪の二面性」という考え方は組織運営にどう活かされていますか？,誰しも余裕がなくなれば悪人（テイカー）になり得ると理解することです。だからこそ、メンバーが常に「いい面」を向け合えるよう、仕組みで支える。これがアドネスの考え方です。,マインドセット
MP-039,「価値提供が最大の自己防衛」とはどのような哲学ですか？,周囲に価値を与え続けていれば、あなたは「失いたくない存在」になります。それが、この不確実な世界で生き残るための最も合理的で強固な防衛策です。ギブは自分を守ることでもあるんです。,マインドセット
MP-040,アドネス株式会社という「キャラクター」を通じて何を達成したいですか？,「価値提供の最大化ゲーム」を世界規模でプレイし、全人類がWellbeing（ウェルビーイング）なギバーになれる世界を作ることです。あなたもそのゲームの大切なプレイヤーの一人ですよ。,マインドセット
MP-041,「不平等な世の中で、唯一平等なカード」とは何ですか？,「どれだけ頑張るか（努力の量）」です。才能や家柄は選べませんが、今日から誰よりもgive super hard forever（ギブスーパーハードフォーエバー）することは誰にでも選べます。これがあなたの最強のカードです。,マインドセット
MP-042,アドネス株式会社は具体的に何のサービスで利益を上げている会社ですか？,オンライン教育プラットフォーム「スキルプラス」を運営しています。受講生の皆さんが価値提供力を身につけ、Wellbeing（ウェルビーイング）を実現するためのスキルを提供しています。,マインドセット
MP-043,三上社長はなぜ東大を退学してまでビジネスに振り切ったのですか？,「価値提供を通じて人を幸せにする」という使命に目覚めたからです。学歴よりも、実際に誰かの役に立てる力を磨くことを選びました。行動で示す姿勢が、アドネスの原点です。,マインドセット
MP-045,「当事者領域」という言葉は「自分の得意分野」と同じ意味ですか？,近いですが、もう少し深い意味があります。「自分が責任を持って、誰よりも深くコミットできる領域」のことです。得意かどうかより、本気で向き合えるかがポイントです。,マインドセット
MP-046,「Play your Life」は単に「人生を楽しもう」という以上の意味がありますか？,あります。人生を「攻略すべきゲーム」として捉え、困難もイベントとして楽しみながら、自分のパラメータ（価値提供力）を上げていく生き方です。受け身ではなく、主体的にプレイするということですね。,マインドセット
MP-047,価値提供力が「最大の投資」と言いますが、最初に学ぶべきスキルは何ですか？,まずはサクセスラーニングで自分に合ったコースを選ぶことから始めてください。どのスキルも「誰かを喜ばせる技術」です。興味があるものから始めれば大丈夫ですよ。,マインドセット
MP-048,会社名の「アドネス」にはどのような由来がありますか？,「Add（加える）」と「ness（状態）」を組み合わせた造語です。「価値を加え続ける存在」という意味が込められています。,マインドセット
MP-049,ギブをし続けても、相手が全く感謝してくれない時はどうすれば？,ギブの対象を見直すタイミングかもしれません。感謝されないことが続くなら、その相手がテイカーである可能性があります。ギバー同士の関係を大切にしましょう。,マインドセット
MP-050,「視点取得」をしようとしても、生理的に受け付けない相手にはどう向き合えばいい？,無理に仲良くなる必要はありません。ただ「なぜこの人はこう振る舞うのか」と背景を理解しようとするだけで、感情的な消耗を減らせます。距離を置くのも立派な選択です。,マインドセット
MP-051,毎日「スーパーハード」に動いていたら、心身を壊しそうです,Wellbeing（ウェルビーイング）の5要素を思い出してください。「欲求の解消（休息）」も大切な要素です。持続可能なペースで頑張ることが、本当のスーパーハードですよ。,マインドセット
MP-052,相手が「テイカー」だと確信する前に、どれくらいギブを続けるべき？,明確な基準はありませんが、「与えても与えても一方通行」と感じたら、一度立ち止まってください。あなたの時間とエネルギーも大切な資産です。,マインドセット
MP-053,「たった一人にとっての世界一」を目指す時、その一人が離れていったら全て無駄になりますか？,無駄にはなりません。その過程で磨いた「深さ」は、次の誰かにも必ず活きます。むしろ、深く向き合った経験こそがあなたの財産になります。,マインドセット
MP-054,自分の欲求を抑えてまでギブに回すべき時期はありますか？,自分を犠牲にするギブは長続きしません。まず自分のWellbeing（ウェルビーイング）を整えてから、余裕を持ってギブする方が、結果的に良い価値提供ができますよ。,マインドセット
MP-055,没頭できるものが見つかりません。見つかるまで何をしていればいい？,まずは目の前のことに全力で取り組んでみてください。没頭は「やっているうちに」見つかることが多いです。行動しながら探すのがコツです。,マインドセット
MP-056,ギブのつもりでやったことが「余計なお世話」と言われた場合、どうリカバリーすればいい？,まず素直に謝り、「何が必要だったか」を聞いてみてください。視点取得が足りなかったサインです。次に活かせば、それも成長の糧になりますよ。,マインドセット
MP-057,ブラックスワンを待つ間の「空振り」が続くと、生活費が尽ける恐怖に勝てません,生活の安定は大前提です。まずは最低限の収入を確保しながら、余力でブラックスワンを狙う種を蒔いてください。無理のない範囲で続けることが大切です。,マインドセット
MP-058,家族や親友が「テイカー」だった場合でも、距離を置くべきですか？,難しい問題ですね。完全に距離を置くのが難しい場合は、「ここまでは付き合う、ここからは守る」という境界線を引くことを意識してみてください。,マインドセット
MP-059,「感情のリカバリー速度」を上げる具体的なトレーニング方法はありますか？,イライラした時に「なぜ相手はそう動いたのか」と3秒考える習慣をつけてみてください。視点取得を繰り返すことで、感情の切り替えが早くなっていきますよ。,マインドセット
MP-060,周囲にギバーが一人もいない環境で、自分だけがギバーとして生き残ることは可能ですか？,可能ですが、消耗します。オンラインコミュニティやスキルプラスの仲間など、ギバーが集まる環境に身を置くことを強くおすすめします。環境選びも戦略の一つです。,マインドセット
MP-061,自分が提供できる「価値」が何もないと感じる無職の人間は、まず何からギブを始めれば？,「圧倒的な努力を見せること」から始めてください。学んでいる姿、挑戦している姿は、それだけで周囲に勇気を与えます。スキルがなくても、熱量は今すぐ出せますよね。,マインドセット
MP-062,スキルを磨くための「勉強代」すら出せない極貧状態での立ち回り方は？,まずはクラウドワークスなどで小さく稼ぐことから始めてください。2〜3万円稼げれば、次の投資に回せます。一歩ずつ積み上げていきましょう。,マインドセット
MP-063,LTRを紡ごうとして、相手から「宗教みたいで怖い」と敬遠されたらどうすればいい？,言葉で説明するより、行動で示すのが一番です。黙々とギブを続けていれば、自然と理解してもらえます。押し付けず、淡々と価値提供していきましょう。,マインドセット
MP-064,価値提供が「自己防衛」なら、それは究極的には「自分のためのテイク」になりませんか？,良い質問ですね。結果的に自分も幸せになるのは事実ですが、「相手を喜ばせる」という行為自体が目的です。Win-Winの関係は、どちらかが損をする構造とは本質的に違います。,マインドセット
MP-065,全人類が「ギバー」になったら、誰も受け取る人がいなくなって矛盾しませんか？,面白い視点ですね。ギバー同士は「受け取ること」も上手です。相手のギブを喜んで受け取り、感謝を返すことも立派なギブ。お互いに与え合う循環が生まれます。,マインドセット
MP-066,「長期的な信頼（LTR）」が大事と言いつつ、短期的な売上目標を追う必要はないんですか？,短期の売上も大切ですが、LTRを壊してまで追うべきではありません。長期的な信頼があれば、売上は後からついてきます。バランスを意識してくださいね。,マインドセット
MP-067,没頭（フロー）している時は他人の視点が見えないはずですが、どうやって価値提供と両立する？,没頭する「前」と「後」に視点取得すればOKです。没頭中は全力で取り組み、終わったら「これは相手の役に立つか？」と振り返る。このサイクルが大切です。,マインドセット
MP-068,「99回は空振りでいい」と言いますが、空振りのコストで再起不能になるリスクはどう管理する？,「下振れが限定的な賭け」を選ぶことが大切です。失敗しても致命傷にならない範囲でチャレンジし、生活の土台は守っておく。これがリスク管理の基本です。,マインドセット
MP-069,LTRの価値は「長さ」だと言うけれど、ずるずる続いているだけの関係も資産になりますか？,「長さ」に加えて「深さ」も大切です。形だけ続いている関係より、お互いに価値を与え合える関係を目指しましょう。質と量、両方を意識してくださいね。,マインドセット
MP-070,三上社長は「お金はどうでもいい」と言いますが、社員の給料やビル賃料はどう考えている？,お金を「目的」にしないという意味です。価値提供の結果としてお金は入ってきます。社員の生活を守ることも、大切な価値提供の一つですよ。,マインドセット
MP-071,ギバーとして振る舞うことが、相手を「テイカー」に育ててしまうことはない？,あり得ます。だからこそ、相手が自立できるようなギブを心がけてください。魚を与えるのではなく、釣り方を教える。それが本当の価値提供です。,マインドセット
MP-072,「自分を愛せない人間は他人にギブできない」という説がありますが、アドネスではどう考える？,同意です。自分のWellbeing（ウェルビーイング）を整えることが、良いギブの土台になります。まず自分を大切にしてから、周囲に与える。この順番が大切ですよ。,マインドセット
MP-073,ブラックスワンを信じることは、単なる「神頼み」や「ポジティブ思考」と何が違うんですか？,「信じて待つ」だけではなく、「確率を上げる行動」をセットで行うことが違いです。スキルを磨き、ギブを重ねることで、ブラックスワンが降りてくる確率を最大化します。,マインドセット
MP-074,アドラー心理学の「嫌われる勇気」と、アドネスの「LTRを大切にする」は相反しませんか？,相反しません。「嫌われる勇気」は八方美人をやめること。LTRは「本当に大切な人との関係を深める」こと。むしろ、本質的には同じ方向を向いています。,マインドセット
MP-075,世の中に溢れている「マーケティング手法」と「アドネス哲学」の決定的な違いは何ですか？,マーケティング手法は「売る技術」、アドネス哲学は「喜ばせる姿勢」です。手法は変わっても、相手を幸せにするという軸がブレなければ、どんな手法も正しく使えます。,マインドセット
MP-076,宗教的な「無償の愛」と、アドネスの「戦略的なギブ」の境界線はどこにありますか？,アドネスのギブは「持続可能性」を重視します。自分が幸せでいられる範囲でギブを続ける。自己犠牲ではなく、Win-Winを目指すところが違いですね。,マインドセット
MP-077,資本主義は「奪い合い」の構造ですが、その中でギバーであり続けるのはシステムへの逆行では？,実は逆です。長期的に見ると、ギバーが最も成功する構造になっています。信頼が資産になる時代、give super hard forever（ギブスーパーハードフォーエバー）こそが最強の戦略です。,マインドセット
MP-078,成功者がよく言う「マインドセット」と、アドネスの「哲学」は同じものを指していますか？,近いですが、アドネスの哲学はより具体的です。「価値提供→Wellbeing（ウェルビーイング）→LTR」という明確なフレームワークがあり、行動に落とし込みやすくなっています。,マインドセット
MP-079,三上社長が思う「最もWellbeing（ウェルビーイング）ではない生き方」とは？,「誰の役にも立てず、成長もなく、ただ欲求を満たすだけの生活」です。幸せ中毒に陥り、意義や人間関係を失った状態。そうならないために、5つの要素を意識してくださいね。,マインドセット
MP-080,アドネスの哲学は入社したら必ず暗記しなければならないものですか？,暗記する必要はありません。大切なのは「価値提供を通じてWellbeing（ウェルビーイング）し、LTRを紡ぐ」という核心を理解し、日々の行動に落とし込むことです。,マインドセット
MP-081,170人以上も仲間がいるとのことですが、社員は全員「元・不登校」や「元・借金持ち」なんですか？,いいえ、様々なバックグラウンドの仲間がいます。共通しているのは「価値提供を通じて成長したい」という想い。過去ではなく、未来に向かう姿勢が大切です。,マインドセット
