ID,質問,回答,カテゴリ
MP-082,三上社長が1億円騙された時の「王さん」とは、今でも連絡を取っているんですか？,その経験から学んだ「テイカーを見極める力」が、今のアドネス哲学の礎になっています。過去の痛みも、成長の糧にできるということですね。,マインドセット
MP-083,営業活動で「価値提供」を起点にする場合、最初のDMや提案文には何を盛り込むべきですか？,「あなたの課題を解決したい」という姿勢を伝えましょう。自分の実績よりも、相手のメリットを先に書く。これだけで反応率が変わりますよ。,マインドセット
MP-084,ターゲットを絞りすぎて案件がゼロになる恐怖にどう打ち勝てばいい？,最初は少し広めに始めて、反応が良いところに絞っていくのがコツです。一度に完璧を目指さず、試しながら調整していきましょう。,マインドセット
MP-085,実績がない初期段階で「選ばれるギバー」になるための努力の示し方は？,「圧倒的な熱量」を見せてください。丁寧な提案書、素早いレスポンス、相手の課題を深く調べた上でのアプローチ。スキルがなくても、姿勢は今すぐ示せます。,マインドセット
MP-086,提案時に「テイカーなクライアント」を見分けるためのチェックポイントは？,「予算は言わないけど、とにかく安く」「納期は急ぐけど、要件は曖昧」など、一方的な要求が多い場合は要注意。最初のやり取りで違和感を感じたら、距離を置く勇気も大切です。,マインドセット
MP-087,交流会で「自分を売る」のではなく「相手を喜ばせる」振る舞いをするには？,まず相手の話を聞くことに集中してください。「何に困っていますか？」「どんなことに興味がありますか？」相手に興味を持つ姿勢が、最高のギブになります。,マインドセット
MP-088,競合が多い領域で、差分を「深さ」で埋める具体的なステップは？,特定の業界や課題に特化することです。「誰でもできるデザイン」より「飲食店専門のメニューデザイン」の方が、深さで勝負できますよ。,マインドセット
MP-089,「自分にはまだ提供できる価値がない」と卑下して営業に踏み出せない時のマインドセットは？,「学びながら価値を提供する」でOKです。完璧になってから始めようとすると、永遠に始められません。今の自分にできることから始めましょう。,マインドセット
MP-090,SNS発信を「たった一人のための価値提供」に変える具体的な工夫は？,「この投稿は誰の、どんな悩みを解決するか」を毎回明確にしてから書いてください。万人ウケを狙うより、一人に刺さる方が結果的に広がります。,マインドセット
MP-091,LTRを壊さずに「単価交渉」を切り出す判断基準は？,「相手に十分な価値を提供できている」という自信があるタイミングです。実績を示しながら、「より良い価値を提供するために」という文脈で伝えましょう。,マインドセット
MP-092,クライアントに「得をさせる」ために、契約範囲外でできるギブの線引きは？,「自分が無理なくできる範囲」が基準です。負担に感じるギブは長続きしません。小さな気遣いやアドバイスなど、軽やかにできることから始めましょう。,マインドセット
MP-093,ギブをしすぎて「何でも無料でやってくれる人」と見なされないための立ち振る舞いは？,「ここまでは無料、ここからは有料」という線引きを最初に伝えておくことです。プロとしての価値を示すことも、相手への誠実さですよ。,マインドセット
MP-094,継続2年目、3年目のクライアントに対して提供すべき「新しい価値」とは？,相手のビジネスの成長に合わせて、提案内容をアップデートしてください。「次はこんなこともできますよ」と先回りして提案することで、関係が深まります。,マインドセット
MP-095,あえて「追加発注」を断り、他者を勧めることが信頼に繋がるケースはありますか？,あります。自分の専門外なら、適任者を紹介する方が相手のためになります。「この人は本当に私のことを考えてくれている」と信頼が深まりますよ。,マインドセット
MP-096,クライアントが「単なる外注先」から「パートナー」へと格上げしてくれる瞬間は？,「言われたことをやる」から「言われる前に提案する」に変わった時です。相手のビジネスを自分ごととして考える姿勢が伝わると、関係が変わります。,マインドセット
MP-097,スキル不足で迷惑をかけた時、LTRを守るための「誠実なリカバリー」とは？,言い訳せずに謝罪し、「どうすれば挽回できるか」を具体的に提案してください。その後の行動で信頼を取り戻す姿勢を見せることが大切です。,マインドセット
MP-098,単価を上げるために「希少性」を磨くべきか、「結果の大きさ」を磨くべきか？,両方大切ですが、まずは「結果の大きさ」を意識してください。相手に大きな成果をもたらせれば、自然と希少な存在になっていきます。,マインドセット
MP-099,「明日食べるための1万円の案件」と「3年後の信頼を作る無償のギブ」、どちらを優先すべき？,まず生活を安定させることが優先です。余裕ができたら長期的な種蒔きに時間を使う。両立できる範囲でバランスを取ってくださいね。,マインドセット
MP-100,ブラックスワンを狙うために、どのような案件に「ベット」し続けるべき？,「成功したら大きなリターンがあり、失敗しても学びになる」案件です。新しい業界へのチャレンジや、尊敬する人との仕事などが該当しますね。,マインドセット
MP-101,「割の良い仕事」をフリーランスが見つけるコツは？,「自分の強み × 需要がある × 競合が少ない」の重なるポイントを探してください。ニッチな領域ほど、割の良い仕事が見つかりやすいですよ。,マインドセット
MP-102,過去にテイカーだと感じたクライアントから「高い報酬」を提示されました。受けるべき？,慎重に判断してください。報酬が高くても、精神的に消耗する関係は長続きしません。どうしても必要なら、明確な境界線を設けた上で受けましょう。,マインドセット
MP-103,「当事者領域」ではない案件を頼まれた時、断るのがギブか、挑戦するのがギブか？,正直に「専門外ですが、学びながらやってみます」と伝えるか、適任者を紹介するか。相手のためになる選択をすることが、本当のギブです。,マインドセット
MP-104,「フロー型案件」と「ストック型LTR」の理想的なバランスは？,生活費を「フロー型」で確保しながら、余力で「ストック型」を育てるのが理想です。比率は状況次第ですが、長期的にはストック型を増やしていきましょう。,マインドセット
MP-105,LTRを紡げそうにない案件を、金銭的な理由だけで受けるのは「負け」ですか？,負けではありません。生活を守ることは大前提です。ただし、それだけで終わらないよう、並行してLTRを築ける関係も探していきましょう。,マインドセット
MP-106,複数の案件が重なった時、「誰にとっての世界一」を優先すべきか決める基準は？,「長期的な関係につながるか」「自分の成長につながるか」で判断してください。短期の報酬より、長期の資産を優先する方が結果的に良い選択になります。,マインドセット
MP-107,give super hard forever（ギブスーパーハードフォーエバー）を実践して燃え尽きないために、休息をどうスケジュールに組み込むべき？,「休息も仕事の一部」と考えてください。週に1日は完全オフ、毎日の睡眠時間は死守。持続可能なペースこそが、本当のスーパーハードです。,マインドセット
MP-108,孤独なフリーランスが「人間関係」というWellbeing（ウェルビーイング）要素を補うには？,オンラインコミュニティやスキルプラスの仲間とつながることをおすすめします。同じ志を持つ人との交流は、孤独を癒やし、モチベーションを高めてくれますよ。,マインドセット
MP-110,クライアントの理不尽な要求にイライラした時、最速で「視点取得」するには？,「この人は何に不安を感じているんだろう？」と3秒だけ考えてみてください。背景が見えると、怒りが理解に変わることがあります。,マインドセット
MP-111,自分のWellbeing（ウェルビーイング）が損なわれている状態で、質の高いギブは可能？,難しいです。まず自分を整えることが先決。休息を取り、Wellbeing（ウェルビーイング）の5要素を満たしてから、改めてギブに向かいましょう。,マインドセット
MP-112,停滞期（99回の空振り）に精神的に折れないためのセルフマネジメントは？,「成果」ではなく「行動量」を自分の評価基準にしてください。今日も種を蒔けたなら、それは前進です。結果は後からついてきますよ。,マインドセット
MP-113,「自己犠牲」と「価値提供」を区別するためのチェックリストは？,「これをやって自分は幸せか？」「持続できるか？」「相手のためになっているか？」この3つがすべてイエスなら価値提供、どれかがノーなら見直しが必要です。,マインドセット
MP-114,自分の成長が止まっていると感じた時、どんな新しい刺激を探すべき？,今までやったことのない分野に触れてみてください。新しいスキル、新しいコミュニティ、新しい人との出会い。没頭できる対象は、行動の先に見つかります。,マインドセット
MP-115,ヒアリング時に相手の視点を100%理解するための質問リストは？,「一番困っていることは？」「理想の状態は？」「過去に試したことは？」「予算と納期の優先度は？」この4つを聞くだけで、かなり深く理解できますよ。,マインドセット
MP-116,自分が提供した価値が、本当に相手のWellbeing（ウェルビーイング）に寄与したか確認する方法は？,直接聞いてみてください。「お役に立てましたか？」「改善点はありますか？」フィードバックをもらうことで、次の価値提供がさらに良くなります。,マインドセット
MP-117,「ありがとう」の数をKPIにする場合、どう可視化してモチベーションに繋げる？,毎日寝る前に「今日、誰に感謝されたか」を1つだけ書き出してみてください。小さな積み重ねが、大きな自信につながりますよ。,マインドセット
MP-118,ポートフォリオを「作ったもの一覧」ではなく「提供した価値とLTRの証明」として再構築するには？,「何を作ったか」ではなく「クライアントにどんな成果をもたらしたか」を書いてください。数字や感想を入れると、説得力が増しますよ。,マインドセット
MP-119,ブラックスワンが降りてきやすい「信頼の作法」として、日々の連絡で意識すべきマナーは？,「即レス」「結論から伝える」「感謝を添える」この3つを意識するだけで、信頼度が大きく変わります。小さな積み重ねが、大きなチャンスを呼び込みます。,マインドセット
MP-120,クライアントの「不安」を先回りして解消するための進捗報告の構成は？,「完了したこと → 次にやること → 懸念点と対策」この順番で伝えると、相手の不安を先回りして解消できます。安心感を与える報告を心がけましょう。,マインドセット
MP-121,AIを「価値提供の深さを増すためのパートナー」としてどう活用すべき？,単純作業はAIに任せ、あなたは「相手を理解すること」と「判断すること」に集中してください。AIは道具、価値提供の主役はあなたです。,マインドセット
MP-122,10年後も選ばれ続けるために、今のスキルに何を「掛け算」して希少性を出すべき？,「業界知識」「コミュニケーション力」「AI活用力」などを掛け算してみてください。単体のスキルより、組み合わせで希少性が生まれますよ。,マインドセット
MP-123,フリーランスとして長く続けるための最も大切な心構えは？,「価値提供を通じてWellbeing（ウェルビーイング）し、LTRを紡ぐ」これに尽きます。目先の稼ぎより、長期的な信頼を積み上げてください。必ず道は開けますよ。,マインドセット
MP-124,職場で「ありがとうございます」と言う回数を意識的に増やすことは価値提供になりますか？,なります。感謝の言葉は、相手の存在を認める立派なギブです。昨日より1回多く「ありがとう」を言うだけで、周囲との関係が変わっていきますよ。,マインドセット
MP-125,誰もやりたがらない小さな「ギブ」を見返りを求めずに行うことの意味は？,その積み重ねが信頼になります。共有スペースの掃除、備品の補充など、誰も見ていなくても淡々と続ける。それがギバーの姿勢です。,マインドセット
MP-126,イライラする相手に対し「この人は何に不安を感じているんだろう？」と視点を合わせる練習は効果ある？,効果絶大です。相手の背景を想像するだけで、怒りが理解に変わります。これが「視点取得」の第一歩。成長速度が一気に上がりますよ。,マインドセット
MP-127,自分の仕事が終わった時、同僚に「何か手伝える？」と声をかける余裕を持つには？,まず自分の仕事を効率化することです。余裕が生まれたら、自然と周囲が見えてきます。小さな声かけが、大きな信頼につながりますよ。,マインドセット
MP-128,チームの成果が出た時、仲間の貢献を真っ先に称えることの価値は？,最高のギブです。手柄を独り占めする人より、仲間を立てる人の方が、長期的には必ず選ばれます。LTRを紡ぐ基本姿勢ですね。,マインドセット
MP-129,職場の「テイカー」に振り回されそうな時、どう判断して距離を置けばいい？,「この人と10年後も良い関係でいたいか？」と自問してください。答えがノーなら、最低限の関わりに留める勇気も大切です。,マインドセット
MP-130,ミスをした時、言い訳せずに誠実にお詫びするコツは？,「申し訳ありません」の後に「次はこうします」をセットで伝えてください。謝罪と改善策をセットで示すことで、信頼をリカバリーできます。,マインドセット
MP-131,上司や部下との関係で「10年後もこの人と良い関係でいたいか」という軸で行動を選ぶとは？,短期的な評価や感情より、長期的な信頼を優先するということです。今日の小さな誠実さが、10年後の大きな財産になりますよ。,マインドセット
MP-132,意見が対立した会議で「全員が前に進めるWin-Winの道」を探すには？,「私たちの共通のゴールは何か？」に立ち返ってください。対立点より共通点に注目すると、Win-Winの道が見えてきます。,マインドセット
MP-133,転職や退職の際、今の職場との縁を「LTR」として大切にするには？,最後まで手を抜かず、丁寧に引き継ぎをしてください。去り際の姿勢が、その人の本質を表します。良い形で縁を残しましょう。,マインドセット
MP-134,今の仕事の中で「熱狂的に喜ばせたい一人」を決めることの効果は？,行動が明確になります。「誰のために」が決まると、何をすべきかが見えてきます。たった一人を徹底的に喜ばせることから始めましょう。,マインドセット
MP-135,通勤時間や休憩中の5分をスキル習得に当てることは本当に効果ある？,あります。毎日5分 × 365日 = 約30時間。1年で30時間の学びは、確実にあなたを変えます。小さな積み重ねを侮らないでください。,マインドセット
MP-136,毎日1つ「価値提供力が昨日より上がった」と感じる瞬間を探すには？,寝る前に「今日、誰かの役に立てたこと」を1つだけ思い出してください。どんなに小さくてもOK。その積み重ねが成長実感になりますよ。,マインドセット
MP-137,目の前のルーティンワークに「誰の人生を良くしているのか」という意義を定義し直すには？,「この作業がなかったら誰が困るか？」を考えてみてください。どんな仕事も、誰かの役に立っています。それが見えると、仕事の意味が変わりますよ。,マインドセット
MP-138,今の職場で「当事者領域」を一つ決めるとは？,「この分野なら誰にも負けない」と言える領域を決めることです。全部を完璧にする必要はありません。一点突破で、まず一つを極めましょう。,マインドセット
MP-139,副業を始める時に「割の良い賭け」を選ぶ基準は？,「失敗しても学びになり、成功したらリターンが大きい」ものを選んでください。時間とお金の投資が小さく、得られるものが大きいものがベストです。,マインドセット
MP-140,成果が出ない「99回の空振り」の期間、ブラックスワンを信じて続けるには？,「成果」ではなく「行動量」を自分の評価基準にしてください。今日も行動できたなら、それは前進です。100回目の奇跡を信じましょう。,マインドセット
MP-141,AIに代替されないために「深さ」を持った価値提供を追求するとは？,特定の誰かにとって「この人じゃないとダメ」という存在になることです。汎用的なスキルより、あなただけの強みを磨いてください。,マインドセット
MP-142,「給料のため」だけでなく「一生モノの資産になるスキル」を基準にキャリアを選ぶとは？,お金は使えばなくなりますが、スキルは一生残ります。「この仕事で何が身につくか？」を常に意識して選択してくださいね。,マインドセット
MP-143,自分の「価値提供力」を飛躍的に高めるための「スーパーハード」な挑戦期間を人生に作るには？,「この半年は全力で学ぶ」と決めて、集中する期間を設けてください。メリハリをつけることで、成長速度が一気に上がりますよ。,マインドセット
MP-144,落ちているゴミを拾うような、誰にも気づかれない「小さなギブ」を習慣にする意味は？,運を積み上げているんです。誰も見ていなくても、宇宙は見ています。そんな気持ちで小さなギブを続けると、いつかブラックスワンが降りてきますよ。,マインドセット
MP-145,エレベーターで「開」ボタンを押して待つ時、相手への価値提供を楽しむには？,「ありがとう」と言われた瞬間を味わってください。ほんの数秒のギブが、相手の一日を少し良くしている。それを実感できれば、毎日が楽しくなりますよ。,マインドセット
MP-146,寝る前に「今日、誰に喜んでもらえたか」を思い出す習慣の効果は？,Wellbeing（ウェルビーイング）の「意義性」と「人間関係」が満たされます。どんなに小さなことでもOK。この習慣が、幸福度を高めてくれますよ。,マインドセット
MP-147,コンビニの店員さんが忙しそうな時、イライラせず「大変そうだな」と視点を合わせるには？,「この人も誰かの大切な人なんだ」と想像してみてください。視点取得の練習は、日常のあらゆる場面でできますよ。,マインドセット
MP-148,疎遠になっている大切な人に「最近どう？」とメッセージを送る「LTRのメンテナンス」の大切さは？,関係は放っておくと薄れていきます。定期的に連絡を取ることで、いざという時に助け合える関係が維持できます。今日、誰かに連絡してみませんか？,マインドセット
MP-149,家族や友人の誕生日ではない日に「感謝のギブ」を贈るサプライズの効果は？,予想外のギブは、相手の記憶に深く残ります。何でもない日の「ありがとう」は、LTRを強化する最高のプレゼントですよ。,マインドセット
MP-150,自分の部屋を「没頭（フロー）」しやすい環境に整えるために断捨離する意味は？,集中力を高めるためです。物が少ないと気が散りにくくなり、没頭しやすくなります。環境を整えることも、自分へのギブですよ。,マインドセット
MP-151,SNSを見る時間を減らし、大切な人と深い会話をする時間に使うことの価値は？,Wellbeing（ウェルビーイング）の「人間関係」が満たされます。浅い100人のつながりより、深い1人との時間の方が、幸福度を高めてくれますよ。,マインドセット
MP-152,「100回目に奇跡が起きる」と信じて毎日継続するコツは？,「結果」ではなく「行動できた自分」を褒めてください。今日も続けられたなら、それだけで100分の1歩前進しています。,マインドセット
MP-153,自分の得意なことで地域やボランティアに「無償のギブ」を提供する意味は？,見返りを求めないギブは、最も純粋な価値提供です。その経験が、あなたの人間性を深め、いつかブラックスワンを呼び込みますよ。,マインドセット
MP-154,疲れた時にまず「しっかり寝る」「美味しいものを食べる」を自分に許すことの大切さは？,Wellbeing（ウェルビーイング）の「欲求の解消」です。これが満たされないと、他の要素も崩れてしまいます。休むことも立派な自己管理ですよ。,マインドセット
MP-155,散歩や瞑想で「今、この瞬間」に集中する時間を作る効果は？,「没頭」の練習になります。過去の後悔や未来の不安から離れ、今に集中する。これがWellbeing（ウェルビーイング）を高める基本ですよ。,マインドセット
MP-156,心がモヤモヤした時、Wellbeing（ウェルビーイング）の5要素のどれが足りないか自己診断するには？,「欲求は満たされている？」「意義を感じている？」「成長している？」「没頭できている？」「人間関係は良好？」順番にチェックしてみてください。,マインドセット
MP-157,「やりたくないこと」を無理に続けている時、どう判断すべき？,「これは誰かのための価値提供か？」と問いかけてください。イエスなら意義を見出す努力を、ノーなら辞める選択肢も考えましょう。,マインドセット
MP-158,他人と比較して落ち込んだ時、「昨日の自分より成長しているか」という軸に戻るには？,他人との比較は永遠に終わりません。「昨日できなかったことが、今日できるようになったか？」これだけに集中してください。,マインドセット
MP-159,誰かにギブしたのに見返りがなくて苦しい時、どう考えればいい？,それは「自己犠牲」になっているサインかもしれません。ギブは本来、与えること自体が喜び。見返りを期待しすぎていないか、振り返ってみてください。,マインドセット
MP-160,感情的に怒りを感じた時、最速で視点取得を行うには？,「この人は何に困っているんだろう？」と3秒だけ考えてください。背景が想像できると、怒りが理解に変わります。これが成長のチャンスですよ。,マインドセット
MP-161,自分が幸福でいることが最高の価値提供の源泉だと気づくには？,疲弊した状態で良いギブはできません。まず自分を満たし、余裕を持ってから与える。この順番を忘れないでくださいね。,マインドセット
MP-162,孤独を感じた時、自分から誰かに「ギブ」することで人間関係を紡ぎ始めるには？,待っていても関係は生まれません。まず自分から「何か手伝えることある？」と声をかけてみてください。ギブが関係の始まりを作りますよ。,マインドセット
MP-163,人生の困難な時期を「自分というキャラクターのレベル上げイベント」として楽しむには？,「Play your Life」の精神です。困難を乗り越えた先に、必ず成長した自分がいます。ゲームの難所を攻略する気持ちで、楽しんでいきましょう。,マインドセット
MP-164,10年後、周りにどんな人がいてほしいか想像し、今からLTRを紡ぐには？,「こんな人と一緒にいたい」と思う人に、今から価値提供を始めてください。10年後の理想の人間関係は、今日の行動から作られますよ。,マインドセット
MP-165,「貯金」だけでなく「スキル（自己投資）」にお金を使う大切さは？,お金は使えばなくなりますが、スキルは複利で増えていきます。スキルプラスでの学びは、一生モノの資産になりますよ。,マインドセット
MP-166,人生の最後に「意味があった」と胸を張れる「人生の設計図」を描くには？,「誰を、どうやって幸せにしたいか」を明確にしてください。価値提供の先にWellbeing（ウェルビーイング）があり、それが人生の意味になります。,マインドセット
MP-167,自分の「当事者領域」を時間をかけてでも見つける覚悟を持つには？,焦らなくて大丈夫です。色々試しながら、「これだけは譲れない」という領域を探してください。行動の先に、必ず見つかりますよ。,マインドセット
MP-168,「短期的な儲け」より「一生モノの信頼」を優先する判断を下すには？,「3年後の自分が後悔しないか？」と問いかけてください。短期の利益より、長期の信頼を選ぶ方が、結果的に豊かな人生になりますよ。,マインドセット
MP-169,毎日「ありがとう」を何人からもらえるかを人生のKPIにする意味は？,「ありがとう」の数は、あなたが提供した価値の証です。お金より確かな指標として、毎日カウントしてみてください。,マインドセット
MP-170,ブラックスワンが降りてきやすいよう、常に「新しい挑戦」という種を蒔き続けるには？,毎月1つ、新しいことに挑戦すると決めてください。小さな種でもOK。蒔き続けることで、いつか大輪の花が咲きますよ。,マインドセット
MP-171,パートナーや家族とお互いのWellbeing（ウェルビーイング）を高め合うLTRを築くには？,「何をしてもらうか」ではなく「何をしてあげられるか」を考えてください。お互いにギブし合う関係が、最高のLTRを作りますよ。,マインドセット
MP-172,定年や引退という概念を捨て、一生give super hard forever（ギブスーパーハードフォーエバー）な生き方を選ぶには？,「働くこと」を「価値提供すること」に置き換えてください。誰かの役に立ち続ける限り、あなたの人生に終わりはありません。,マインドセット
MP-173,人生という一度きりのゲームを最後の瞬間まで「Play your Life」し続けると誓うには？,毎朝「今日も人生をプレイしよう」と心の中で唱えてみてください。困難もイベント、成長もレベルアップ。この姿勢があれば、人生は最高に楽しくなりますよ。,マインドセット
MP-174,当事者領域を決める3つの基準（問い）は？,当事者領域を決める3つの基準は、①パッション：情熱を持って取り組めることか、②相手の求め：相手が困っており、その解決を求めていることか、③自分の強み：自分が少しでも強みを持っている領域か、の3つです。現時点の情熱を軸に充てていただいて大丈夫です。まずは情熱を軸に動いてみて、そこから調整していく形でOKです。,マインドセット
MP-175,判断の羅針盤となる3つの基準（人生の設計図）は？,迷ったときの判断基準は、①価値提供：その行動は相手を喜ばせることにつながっているか、②ウェルビーイング：自分自身が今この瞬間を楽しく幸福に感じられるか、③LTR（ライフタイム・リレーションシップ）：他者との豊かで長期的な信頼関係を紡ぐことができるか、の3つです。すべてに「イエス」であるかを問い直してください。,マインドセット
MP-176,人生攻略で乗り越えるべき3つの問題は？,①ギブアンドテイク勘違いされすぎ問題：正しいギブ＆テイクの理解不足により短期的な得に走ってしまう問題、②善人ほぼ悪人に食い物にされてる問題：力のない善人がテイカーに利用されてしまう問題、③幸せ中毒患者がやばすぎる問題：目先の欲求解消だけを幸せだと勘違いし人生が空虚になる問題、の3つです。,マインドセット
MP-177,当事者領域の「パッション」は現時点の情熱があるものに充てていい？,はい、大丈夫です。3つの基準のうちの1つが「パッション（情熱を持って取り組めるか）」ですので、現時点で情熱を感じるものに充てていただいてOKです。残りの「相手の求め」と「自分の強み」も合わせて考えると、より精度の高い当事者領域が見つかります。まずは情熱を軸に動いてみて、そこから調整していく形で大丈夫です。,マインドセット
